Date,Open,High,Low,Close,Adj Close,Volume
2020-04-13,2040.000000,2461.000000,2038.000000,2375.000000,2375.000000,41638700
2020-04-20,2389.949951,2444.979980,2279.659912,2410.219971,2410.219971,26351100
2020-04-27,2443.199951,2475.000000,2258.189941,2286.040039,2286.040039,34813800
2020-05-04,2256.379883,2387.239990,2256.379883,2379.610107,2379.610107,17829200
2020-05-11,2374.699951,2419.669922,2337.800049,2409.780029,2409.780029,19000100
2020-05-18,2404.350098,2525.449951,2384.010010,2436.879883,2436.879883,20657300
2020-05-25,2458.000000,2462.000000,2330.000000,2442.370117,2442.370117,15325200
2020-06-01,2448.000000,2507.540039,2437.129883,2483.000000,2483.000000,14384900
2020-06-08,2500.199951,2722.350098,2487.340088,2545.020020,2545.020020,25328900
2020-06-15,2526.600098,2697.429932,2508.000000,2675.010010,2675.010010,18674800
2020-06-22,2684.500000,2796.000000,2669.000000,2692.870117,2692.870117,21436600
2020-06-29,2690.010010,2955.560059,2630.080078,2890.300049,2890.300049,20949900
2020-07-06,2934.969971,3215.000000,2930.000000,3200.000000,3200.000000,29050400
2020-07-13,3251.060059,3344.290039,2918.229980,2961.969971,2961.969971,31896700
2020-07-20,3000.199951,3240.580078,2888.000000,3008.909912,3008.909912,29113000
2020-07-27,3062.000000,3246.820068,2995.760010,3164.679932,3164.679932,24485100
2020-08-03,3180.510010,3247.469971,3101.209961,3167.459961,3167.459961,21562200
2020-08-10,3170.310059,3217.520020,3073.000000,3148.020020,3148.020020,16308200
2020-08-17,3173.120117,3320.000000,3154.179932,3284.719971,3284.719971,19130700
2020-08-24,3310.149902,3453.000000,3257.560059,3401.800049,3401.800049,22329600
2020-08-31,3408.989990,3552.250000,3111.129883,3294.620117,3294.620117,28492500
2020-09-07,3144.000000,3349.889893,3083.979980,3116.219971,3116.219971,21707600
2020-09-14,3172.939941,3187.389893,2905.540039,2954.909912,2954.909912,28405000
2020-09-21,2906.500000,3133.989990,2871.000000,3095.129883,3095.129883,28864000
2020-09-28,3148.850098,3224.000000,3117.169922,3125.000000,3125.000000,23201100
2020-10-05,3145.840088,3288.989990,3090.000000,3286.649902,3286.649902,21253600
2020-10-12,3349.939941,3496.239990,3160.000000,3272.709961,3272.709961,31619400
2020-10-19,3299.610107,3329.000000,3121.939941,3204.399902,3204.399902,22004700
2020-10-26,3198.739990,3291.659912,3019.000000,3036.149902,3036.149902,30763400
2020-11-02,3061.739990,3366.800049,2950.120117,3311.370117,3311.370117,29430900
2020-11-09,3231.030029,3289.000000,3019.479980,3128.810059,3128.810059,26266500
2020-11-16,3093.199951,3189.250000,3072.689941,3099.399902,3099.399902,16554900
2020-11-23,3116.699951,3216.189941,3065.459961,3195.340088,3195.340088,14494300
2020-11-30,3208.479980,3248.949951,3125.550049,3162.580078,3162.580078,17535800
2020-12-07,3156.479980,3184.129883,3072.820068,3116.419922,3116.419922,16233300
2020-12-14,3143.000000,3263.510010,3126.000000,3201.649902,3201.649902,21372900
2020-12-21,3200.010010,3226.969971,3166.000000,3172.689941,3172.689941,9751900
2020-12-28,3194.000000,3350.649902,3172.689941,3256.929932,3256.929932,16726200
2021-01-04,3270.000000,3272.000000,3131.159912,3182.699951,3182.699951,18513900
2021-01-11,3148.010010,3189.949951,3086.000000,3104.250000,3104.250000,17834100
2021-01-18,3107.000000,3348.550049,3096.000000,3292.229980,3292.229980,16372900
2021-01-25,3328.500000,3363.889893,3184.550049,3206.199951,3206.199951,18808000
2021-02-01,3242.360107,3434.000000,3235.030029,3352.149902,3352.149902,25639100
2021-02-08,3358.500000,3365.000000,3233.310059,3277.709961,3277.709961,13249200
2021-02-15,3254.050049,3338.000000,3245.750000,3249.899902,3249.899902,13204800
2021-02-22,3208.129883,3232.320068,3036.699951,3092.929932,3092.929932,20013900
2021-03-01,3127.889893,3163.520020,2881.000000,3000.459961,3000.459961,20183800
2021-03-08,3015.000000,3131.780029,2951.310059,3089.489990,3089.489990,16425800
2021-03-15,3074.570068,3173.050049,3016.629883,3074.959961,3074.959961,16846000
2021-03-22,3067.850098,3182.000000,2996.000000,3052.030029,3052.030029,16554900
2021-03-29,3055.439941,3162.439941,3028.449951,3161.000000,3161.000000,11117800
2021-04-05,3173.000000,3372.199951,3161.239990,3372.199951,3372.199951,16372500
2021-04-12,3355.209961,3395.040039,3351.149902,3379.389893,3379.389893,3281800
