Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,3400.850098,3432.000000,3326.000000,3399.439941,3399.439941,12880600
2021-04-19,3390.330078,3435.929932,3301.449951,3340.879883,3340.879883,13333000
2021-04-26,3348.000000,3554.000000,3330.939941,3467.419922,3467.419922,28031400
2021-05-03,3484.729980,3486.649902,3247.199951,3291.610107,3291.610107,24184200
2021-05-10,3282.320068,3283.000000,3127.370117,3222.899902,3222.899902,22070700
2021-05-17,3245.929932,3312.000000,3184.000000,3203.080078,3203.080078,15970100
2021-05-24,3215.500000,3295.729980,3210.500000,3223.070068,3223.070068,12958900
2021-05-31,3243.500000,3250.979980,3184.030029,3206.219971,3206.219971,9092500
2021-06-07,3197.330078,3366.580078,3172.199951,3346.830078,3346.830078,14381900
2021-06-14,3346.830078,3507.000000,3335.500000,3486.899902,3486.899902,19582900
2021-06-21,3476.419922,3524.860107,3394.179932,3401.459961,3401.459961,17208500
2021-06-28,3416.000000,3511.719971,3409.419922,3510.979980,3510.979980,11951700
2021-07-05,3530.110107,3759.989990,3529.000000,3719.340088,3719.340088,21001700
2021-07-12,3744.000000,3773.080078,3570.459961,3573.629883,3573.629883,16943100
2021-07-19,3532.580078,3666.110107,3499.159912,3656.639893,3656.639893,15061000
2021-07-26,3673.169922,3712.080078,3306.979980,3327.590088,3327.590088,25517000
2021-08-02,3353.100098,3391.000000,3299.770020,3344.939941,3344.939941,14766200
2021-08-09,3343.610107,3358.000000,3269.669922,3293.969971,3293.969971,11878800
2021-08-16,3283.000000,3300.000000,3175.760010,3199.949951,3199.949951,16653200
2021-08-23,3211.899902,3352.320068,3210.010010,3349.629883,3349.629883,12001400
2021-08-30,3357.429932,3527.000000,3355.219971,3478.050049,3478.050049,16677900
2021-09-06,3478.000000,3549.989990,3462.909912,3469.149902,3469.149902,10907800
2021-09-13,3482.800049,3497.959961,3402.010010,3462.520020,3462.520020,14663600
2021-09-20,3396.000000,3429.260010,3305.010010,3425.520020,3425.520020,14357000
2021-09-27,3371.500000,3415.570068,3255.939941,3283.260010,3283.260010,16305600
2021-10-04,3279.389893,3325.750000,3176.250000,3288.620117,3288.620117,14732600
2021-10-11,3275.000000,3410.419922,3236.280029,3409.020020,3409.020020,13563300
2021-10-18,3388.360107,3462.860107,3331.300049,3335.550049,3335.550049,12720500
2021-10-25,3335.000000,3479.000000,3273.320068,3372.429932,3372.429932,19821300
2021-11-01,3361.800049,3566.250000,3283.550049,3518.989990,3518.989990,19983700
2021-11-08,3523.239990,3605.449951,3447.050049,3525.149902,3525.149902,16350100
2021-11-15,3537.000000,3762.149902,3525.149902,3676.570068,3676.570068,18347300
2021-11-22,3676.379883,3713.459961,3504.149902,3504.560059,3504.560059,13851700
2021-11-29,3547.639893,3596.000000,3338.600098,3389.790039,3389.790039,18284400
2021-12-06,3393.000000,3549.989990,3338.689941,3444.239990,3444.239990,14363800
2021-12-13,3440.000000,3483.320068,3303.899902,3400.350098,3400.350098,17017900
2021-12-20,3337.000000,3441.000000,3312.000000,3421.370117,3421.370117,10257600
2021-12-27,3420.739990,3458.860107,3331.169922,3334.340088,3334.340088,11724700
2022-01-03,3351.000000,3428.000000,3238.739990,3251.080078,3251.080078,14855600
2022-01-10,3211.709961,3337.560059,3126.090088,3242.760010,3242.760010,14939800
2022-01-17,3182.100098,3194.689941,2841.409912,2852.860107,2852.860107,17824000
2022-01-24,2780.000000,2903.699951,2707.040039,2879.560059,2879.560059,24697900
2022-01-31,2895.000000,3224.000000,2766.659912,3152.790039,3152.790039,35192300
2022-02-07,3170.399902,3276.689941,3054.679932,3065.870117,3065.870117,19640900
2022-02-14,3035.020020,3206.979980,3017.860107,3052.030029,3052.030029,16000500
2022-02-21,3009.570068,3079.800049,2790.000000,3075.770020,3075.770020,14677700
2022-02-28,3048.500000,3089.000000,2876.139893,2912.820068,2912.820068,13801200
2022-03-07,2908.870117,2993.500000,2671.449951,2910.489990,2910.489990,23260700
2022-03-14,2919.620117,3231.879883,2817.679932,3225.010010,3225.010010,20526200
2022-03-21,3222.419922,3327.399902,3191.060059,3295.469971,3295.469971,14613300
2022-03-28,3299.500000,3416.629883,3246.389893,3271.199951,3271.199951,14958900
2022-04-04,3282.500000,3367.889893,3084.620117,3089.209961,3089.209961,14835200
2022-04-11,3054.260010,3101.979980,3007.659912,3015.750000,3015.750000,5359200
2022-04-13,3000.370117,3101.010010,2992.000000,3092.300049,3092.300049,1578904
